valid_time,price_buy,price_sell,generation,solar_generation,wind_generation,consumption,power_buy,power_sell,battery_charge,battery_discharge,battery_state,energy_cost,grid_cost_energy,total_grid_cost,total_cost
2020-01-12T10:00:00.000+00:00,0.2884,0.2084,470.4885549685766,-0.0,470.4885549685766,405.8058577447136,0.0,64.68269722386299,0.0,0.0,0.0,-13.479874101453047,0.9702404583579448,10.840094419536204,-2.6397796819168438
2020-01-12T11:00:00.000+00:00,0.2845,0.2045,470.24122120849665,-0.0,470.24122120849665,403.0711831772326,0.0,67.17003803126403,0.0,0.0,0.0,-13.736272777393493,1.0075505704689605,10.87740453164722,-2.8588682457462724
2020-01-12T12:00:00.000+00:00,0.28409999999999996,0.20409999999999998,463.7255055416504,-0.0,463.7255055416504,383.14048361432435,0.0,80.58502192732607,0.0,0.0,0.0,-16.447402975367247,1.208775328909891,11.07862929008815,-5.368773685279097
2020-01-12T13:00:00.000+00:00,0.2894,0.2094,420.2526962377204,-0.0,420.2526962377204,404.96990892101894,0.0,15.282787316701445,0.0,0.0,0.0,-3.2002156641172825,0.22924180975052166,10.09909577092878,6.898880106811498
2020-01-12T14:00:00.000+00:00,0.29269999999999996,0.21269999999999997,397.80947238296255,-0.0,397.80947238296255,410.79321743573365,12.983745052771098,0.0,0.0,0.0,0.0,3.8003421769461,0.19475617579156648,10.064610136969826,13.864952313915927
2020-01-12T15:00:00.000+00:00,0.2969,0.2169,377.24618678105037,-0.0,377.24618678105037,419.859822496425,42.61363571537464,0.0,0.0,0.0,0.0,12.651988443894732,0.6392045357306196,10.50905849690888,23.16104694080361
2020-01-12T16:00:00.000+00:00,0.305,0.225,426.48529239887995,-0.0,426.48529239887995,452.165404170243,25.680111771363045,0.0,0.0,0.0,0.0,7.832434090265728,0.3852016765704457,10.255055637748706,18.087489728014432
2020-01-12T17:00:00.000+00:00,0.30670000000000003,0.22670000000000004,372.014168820018,-0.0,372.014168820018,454.24548876521794,82.23131994519991,0.0,0.0,0.0,0.0,25.220345827192816,1.2334697991779986,11.103323760356258,36.32366958754908
2020-01-12T18:00:00.000+00:00,0.3016,0.2216,329.8148108436185,-0.0,329.8148108436185,435.11527799209546,105.30046714847697,0.0,0.0,0.0,0.0,31.75862089198065,1.5795070072271544,11.449360968405415,43.20798186038606
2020-01-12T19:00:00.000+00:00,0.29619999999999996,0.21619999999999998,243.05689795909913,-0.0,243.05689795909913,402.00020087824225,158.94330291914312,0.0,0.0,0.0,0.0,47.07900632465019,2.3841495437871467,12.254003504965407,59.33300982961559
2020-01-12T20:00:00.000+00:00,0.2953,0.21530000000000002,44.96728347048503,-0.0,44.96728347048503,411.03477601031767,366.06749253983264,0.0,0.0,0.0,0.0,108.09973054701258,5.49101238809749,15.36086634927575,123.46059689628834
2020-01-12T21:00:00.000+00:00,0.2948,0.21480000000000002,22.89631110540582,-0.0,22.89631110540582,402.7074570107564,379.8111459053506,0.0,0.0,0.0,0.0,111.96832581289736,5.697167188580258,15.567021149758517,127.53534696265588
2020-01-12T22:00:00.000+00:00,0.2827,0.2027,40.85785421248558,-0.0,40.85785421248558,387.2918847946258,346.4340305821402,0.0,0.0,0.0,0.0,97.93690044557104,5.196510458732103,15.066364419910363,113.00326486548141
2020-01-12T23:00:00.000+00:00,0.2652,0.18519999999999998,114.19378753579569,-0.0,114.19378753579569,378.8935763400023,264.6997888042066,0.0,0.0,0.0,0.0,70.19838399087558,3.970496832063099,13.84035079324136,84.03873478411695
2020-01-13T00:00:00.000+00:00,0.2791,0.1991,138.59384424250376,-0.0,138.59384424250376,370.8592645837602,232.26542034125643,0.0,0.0,0.0,0.0,64.82527881724468,3.483981305118846,13.353835266297105,78.17911408354179
2020-01-13T01:00:00.000+00:00,0.2796,0.19960000000000003,85.99459886951924,-0.0,85.99459886951924,358.0738471434949,272.0792482739757,0.0,0.0,0.0,0.0,76.0733578174036,4.081188724109635,13.951042685287895,90.0244005026915
2020-01-13T02:00:00.000+00:00,0.2826,0.2026,109.82522585350578,-0.0,109.82522585350578,366.9114703961619,257.0862445426561,0.0,0.0,0.0,0.0,72.65257270775463,3.8562936681398416,13.7261476293181,86.37872033707274
2020-01-13T03:00:00.000+00:00,0.2901,0.21010000000000004,180.87371916054764,-0.0,180.87371916054764,355.38377724088684,174.5100580803392,0.0,0.0,0.0,0.0,50.62536784910641,2.617650871205088,12.487504832383348,63.112872681489755
2020-01-13T04:00:00.000+00:00,0.29989999999999994,0.21989999999999996,154.28299841728543,-0.0,154.28299841728543,375.6925989581665,221.4096005408811,0.0,0.0,0.0,0.0,66.40073920221023,3.321144008113216,13.190997969291477,79.59173717150172
2020-01-13T05:00:00.000+00:00,0.3368,0.25680000000000003,110.03492085044954,-0.0,110.03492085044954,406.9896095191771,296.9546886687276,0.0,0.0,0.0,0.0,100.01433914362745,4.454320330030914,14.324174291209173,114.33851343483663
2020-01-13T06:00:00.000+00:00,0.4497,0.36970000000000003,118.4906628596986,-0.0,118.4906628596986,416.89898143125515,298.40831857155655,0.0,0.0,0.0,0.0,134.19422086162896,4.4761247785733485,14.345978739751608,148.54019960138055
2020-01-13T07:00:00.000+00:00,0.517,0.437,94.2946827383046,-0.0,94.2946827383046,400.91138806007575,306.6167053217712,0.0,0.0,0.0,0.0,158.5208366513557,4.599250579826568,14.469104541004828,172.9899411923605
2020-01-13T08:00:00.000+00:00,0.5232,0.4432,173.64588404842937,-0.0,173.64588404842937,388.71678176327725,215.0708977148479,0.0,0.0,0.0,0.0,112.52509368440842,3.226063465722718,13.095917426900979,125.6210111113094
2020-01-13T09:00:00.000+00:00,0.5172,0.43720000000000003,98.49407971859583,-0.0,98.49407971859583,387.81246901870895,289.31838930011315,0.0,0.0,0.0,0.0,149.63547094601853,4.339775839501697,14.209629800679956,163.84510074669848
2020-01-13T10:00:00.000+00:00,0.5007,0.4207,98.91810788919955,-0.0,98.91810788919955,375.2233726920851,276.3052648028855,0.0,0.0,0.0,0.0,138.3460460868048,4.144578972043282,14.014432933221542,152.36047902002633
2020-01-13T11:00:00.000+00:00,0.4987,0.4187,126.68920717441607,-0.0,126.68920717441607,367.3745139042171,240.68530672980103,0.0,0.0,0.0,0.0,120.02976246615177,3.610279600947015,13.480133562125275,133.50989602827704
2020-01-13T12:00:00.000+00:00,0.48579999999999995,0.4058,110.94898382241345,-0.0,110.94898382241345,359.4203420733216,248.47135825090814,0.0,0.0,0.0,0.0,120.70738583829116,3.727070373763622,13.596924334941882,134.30431017323303
2020-01-13T13:00:00.000+00:00,0.4736,0.39360000000000006,121.75692455347247,-0.0,121.75692455347247,349.86307934957097,228.1061547960985,0.0,0.0,0.0,0.0,108.03107491143226,3.4215923219414774,13.291446283119736,121.322521194552
2020-01-13T14:00:00.000+00:00,0.4856,0.4056,79.92367111387912,-0.0,79.92367111387912,390.52069423267807,310.5970231187989,0.0,0.0,0.0,0.0,150.82591442648874,4.658955346781983,14.528809307960243,165.35472373444898
2020-01-13T15:00:00.000+00:00,0.4663,0.38630000000000003,70.99589247982772,-0.0,70.99589247982772,424.73062550360044,353.7347330237727,0.0,0.0,0.0,0.0,164.9465060089852,5.30602099535659,15.17587495653485,180.12238096552005
2020-01-13T16:00:00.000+00:00,0.49679999999999996,0.4168,60.1505089182168,-0.0,60.1505089182168,442.081534009455,381.9310250912382,0.0,0.0,0.0,0.0,189.74333326532712,5.728965376368573,15.598819337546832,205.34215260287394
2020-01-13T17:00:00.000+00:00,0.48189999999999994,0.4019,50.911444133580545,-0.0,50.911444133580545,438.2329097149356,387.321465581355,0.0,0.0,0.0,0.0,186.65021426365496,5.809821983720325,15.679675944898584,202.32989020855354
2020-01-13T18:00:00.000+00:00,0.31389999999999996,0.23389999999999997,42.441896682746666,-0.0,42.441896682746666,411.93950657907874,369.49760989633205,0.0,0.0,0.0,0.0,115.98529974645861,5.542464148444981,15.41231810962324,131.39761785608184
2020-01-13T19:00:00.000+00:00,0.3048,0.22480000000000003,48.48303202952476,-0.0,48.48303202952476,393.9532224374157,345.470190407891,0.0,0.0,0.0,0.0,105.29931403632517,5.182052856118364,15.051906817296624,120.3512208536218
2020-01-13T20:00:00.000+00:00,0.30039999999999994,0.22039999999999996,86.41449105449918,-0.0,86.41449105449918,376.6663832679909,290.2518922134917,0.0,0.0,0.0,0.0,87.1916684209329,4.353778383202376,14.223632344380636,101.41530076531355
2020-01-13T21:00:00.000+00:00,0.2934,0.2134,100.80526039966739,-0.0,100.80526039966739,373.4309930817006,272.62573268203323,0.0,0.0,0.0,0.0,79.98838996890855,4.0893859902304985,13.959239951408758,93.94762992031731
2020-01-13T22:00:00.000+00:00,0.274,0.194,151.9638019945835,-0.0,151.9638019945835,372.2000127054666,220.23621071088309,0.0,0.0,0.0,0.0,60.34472173478197,3.303543160663246,13.173397121841505,73.51811885662347
2020-01-13T23:00:00.000+00:00,0.2621,0.1821,186.7943035329774,-0.0,186.7943035329774,353.0134612822068,166.21915774922937,0.0,0.0,0.0,0.0,43.56604124607302,2.4932873662384405,12.3631413274167,55.92918257348972
2020-01-14T00:00:00.000+00:00,0.2114,0.1314,279.20346682523024,-0.0,279.20346682523024,355.0750679282154,75.87160110298515,0.0,0.0,0.0,0.0,16.03925647317106,1.1380740165447774,11.007927977723037,27.0471844508941
2020-01-14T01:00:00.000+00:00,0.16310000000000002,0.08310000000000001,333.9656015191706,-0.0,333.9656015191706,344.2506829548704,10.285081435699794,0.0,0.0,0.0,0.0,1.6774967821626368,0.15427622153549692,10.024130182713757,11.701626964876393
2020-01-14T02:00:00.000+00:00,0.1676,0.08759999999999998,421.93733753943826,-0.0,421.93733753943826,359.7158405838261,0.0,62.22149695561217,0.0,0.0,0.0,-5.450603133311625,0.9333224543341825,10.803176415512443,5.352573282200817
2020-01-14T03:00:00.000+00:00,0.225,0.145,458.8490216884341,-0.0,458.8490216884341,358.5846932770606,0.0,100.26432841137353,0.0,0.0,0.0,-14.538327619649161,1.5039649261706027,11.373818887348863,-3.1645087323002983
2020-01-14T04:00:00.000+00:00,0.2431,0.1631,468.36116615909214,-0.0,468.36116615909214,370.9979092157398,0.0,97.36325694335233,0.0,0.0,0.0,-15.879947207460765,1.460448854150285,11.330302815328544,-4.549644392132221
2020-01-14T05:00:00.000+00:00,0.2863,0.20629999999999998,468.5944733666536,-0.0,468.5944733666536,401.9273876951233,0.0,66.66708567153029,0.0,0.0,0.0,-13.753419774036697,1.0000062850729543,10.869860246251214,-2.883559527785483
2020-01-14T06:00:00.000+00:00,0.2955,0.2155,469.89134791990847,-0.0,469.89134791990847,405.51767406367804,0.0,64.37367385623043,0.0,0.0,0.0,-13.872526716017656,0.9656051078434563,10.835459069021717,-3.03706764699594
2020-01-14T07:00:00.000+00:00,0.29839999999999994,0.21839999999999996,468.75723510709076,-0.0,468.75723510709076,404.9341391820026,0.0,63.82309592508818,0.0,0.0,0.0,-13.938964150039256,0.9573464388763226,10.827200400054583,-3.1117637499846733
2020-01-14T08:00:00.000+00:00,0.29789999999999994,0.21789999999999995,470.4262518257559,-0.0,470.4262518257559,407.2293217442225,0.0,63.196930081533424,0.0,0.0,0.0,-13.77061106476613,0.9479539512230013,10.81780791240126,-2.9528031523648703
2020-01-14T09:00:00.000+00:00,0.29739999999999994,0.21739999999999995,467.56305666475384,-0.0,467.56305666475384,392.23722258120364,0.0,75.3258340835502,0.0,0.0,0.0,-16.37583632976381,1.129887511253253,10.999741472431513,-5.376094857332298
2020-01-14T10:00:00.000+00:00,0.2963,0.21630000000000002,462.7166666139289,-0.0,462.7166666139289,417.6979947277558,0.0,45.01867188617308,0.0,0.0,0.0,-9.737538728979239,0.6752800782925962,10.545134039470856,0.8075953104916174
2020-01-14T11:00:00.000+00:00,0.29510000000000003,0.21510000000000004,454.05054231153554,-0.0,454.05054231153554,407.8872072036699,0.0,46.163335107865635,0.0,0.0,0.0,-9.9297333817019,0.6924500266179845,10.562303987796245,0.6325706060943457
2020-01-14T12:00:00.000+00:00,0.296,0.216,467.7468603880287,-0.0,467.7468603880287,391.82005217740874,0.0,75.92680821061998,0.0,0.0,0.0,-16.400190573493916,1.1389021231592997,11.00875608433756,-5.391434489156357
2020-01-14T13:00:00.000+00:00,0.2976,0.2176,431.3755697042788,-0.0,431.3755697042788,382.4365107413164,0.0,48.939058962962406,0.0,0.0,0.0,-10.64913923034062,0.734085884444436,10.603939845622696,-0.04519938471792351
2020-01-14T14:00:00.000+00:00,0.302,0.222,400.2186401856324,-0.0,400.2186401856324,379.78689892476484,0.0,20.431741260867568,0.0,0.0,0.0,-4.5358465599126,0.3064761189130135,10.176330080091272,5.640483520178673
2020-01-14T15:00:00.000+00:00,0.3055,0.2255,107.31518720508963,-0.0,107.31518720508963,413.64674131006996,306.33155410498034,0.0,0.0,0.0,0.0,93.5842897790715,4.594973311574705,14.464827272752965,108.04911705182447
2020-01-14T16:00:00.000+00:00,0.3088,0.22880000000000003,154.9909724107527,-0.0,154.9909724107527,436.7348171912208,281.7438447804681,0.0,0.0,0.0,0.0,87.00249926820857,4.226157671707021,14.096011632885281,101.09851090109386
2020-01-14T17:00:00.000+00:00,0.3045,0.2245,136.71901112493512,-0.0,136.71901112493512,429.71221222570523,292.9932011007701,0.0,0.0,0.0,0.0,89.21642973518449,4.394898016511551,14.26475197768981,103.4811817128743
2020-01-14T18:00:00.000+00:00,0.299,0.219,148.04980510899466,-0.0,148.04980510899466,415.9796870184121,267.9298819094174,0.0,0.0,0.0,0.0,80.1110346909158,4.0189482286412614,13.888802189819522,93.99983688073533
2020-01-14T19:00:00.000+00:00,0.2912,0.21120000000000003,325.2117057474483,-0.0,325.2117057474483,395.2559079823,70.0442022348517,0.0,0.0,0.0,0.0,20.396871690788814,1.0506630335227753,10.920516994701035,31.317388685489846
2020-01-14T20:00:00.000+00:00,0.2782,0.1982,384.45012319623726,-0.0,384.45012319623726,382.95845578355915,0.0,1.4916674126781118,0.0,0.0,0.0,-0.29564848119280174,0.022375011190171677,9.89222897236843,9.59658049117563
2020-01-14T21:00:00.000+00:00,0.263,0.183,419.270383875804,-0.0,419.270383875804,362.6749871345895,0.0,56.59539674121447,0.0,0.0,0.0,-10.356957603642249,0.848930951118217,10.718784912296476,0.3618273086542274
2020-01-14T22:00:00.000+00:00,0.164,0.08399999999999999,441.5529817358625,-0.0,441.5529817358625,348.9812616141767,0.0,92.57172012168581,0.0,0.0,0.0,-7.776024490221608,1.3885758018252872,11.258429763003546,3.4824052727819392
2020-01-14T23:00:00.000+00:00,0.20140000000000002,0.12140000000000001,377.5701005020635,-0.0,377.5701005020635,343.9719949498795,0.0,33.598105552183995,0.0,0.0,0.0,-4.078810014035137,0.5039715832827599,10.37382554446102,6.295015530425882
2020-01-15T00:00:00.000+00:00,0.1845,0.10449999999999998,464.26965710829035,-0.0,464.26965710829035,348.811420719964,0.0,115.45823638832633,0.0,0.0,0.0,-12.0653857025801,1.7318735458248948,11.601727507003154,-0.46365819557694543
2020-01-15T01:00:00.000+00:00,0.1398,0.05980000000000001,469.7257231200425,-0.0,469.7257231200425,324.65862420732157,0.0,145.06709891272095,0.0,0.0,0.0,-8.675012514980715,2.176006483690814,12.045860444869074,3.3708479298883596
2020-01-15T02:00:00.000+00:00,0.15159999999999998,0.0716,470.2293920423344,-0.0,470.2293920423344,326.5318580274504,0.0,143.69753401488396,0.0,0.0,0.0,-10.28874343546569,2.1554630102232593,12.02531697140152,1.736573535935829
2020-01-15T03:00:00.000+00:00,0.21510000000000004,0.13510000000000003,468.68801655502847,-0.0,468.68801655502847,326.0076337742088,0.0,142.68038278081968,0.0,0.0,0.0,-19.276119713688743,2.140205741712295,12.010059702890555,-7.26606001079819
2020-01-15T04:00:00.000+00:00,0.2335,0.1535,469.38650477646195,-0.0,469.38650477646195,339.4174743334698,0.0,129.96903044299216,0.0,0.0,0.0,-19.950246172999297,1.9495354566448824,11.819389417823142,-8.130856755176156
2020-01-15T05:00:00.000+00:00,0.2838,0.20379999999999998,468.4228676125267,-0.0,468.4228676125267,369.8468199496169,0.0,98.57604766290984,0.0,0.0,0.0,-20.089798513701023,1.4786407149436476,11.348494676121907,-8.741303837579116
2020-01-15T06:00:00.000+00:00,0.291,0.211,469.02795441098664,-0.0,469.02795441098664,359.24781353386317,0.0,109.78014087712347,0.0,0.0,0.0,-23.16360972507305,1.646702113156852,11.516556074335112,-11.64705365073794
2020-01-15T07:00:00.000+00:00,0.2948,0.21480000000000002,468.50064906818767,-0.0,468.50064906818767,352.27076918530594,0.0,116.22987988288173,0.0,0.0,0.0,-24.966178198843,1.743448198243226,11.613302159421485,-13.352876039421515
2020-01-15T08:00:00.000+00:00,0.29510000000000003,0.21510000000000004,468.6412030481061,-0.0,468.6412030481061,353.5806342891868,0.0,115.06056875891932,0.0,0.0,0.0,-24.74952834004355,1.7259085313837896,11.595762492562049,-13.1537658474815
2020-01-15T09:00:00.000+00:00,0.2934,0.2134,467.21602305631063,-0.0,467.21602305631063,345.9110699632785,0.0,121.30495309303211,0.0,0.0,0.0,-25.886476990053055,1.8195742963954815,11.689428257573741,-14.197048732479315
2020-01-15T10:00:00.000+00:00,0.2898,0.20980000000000001,469.5462200482341,-0.0,469.5462200482341,345.43002130705264,0.0,124.11619874118145,0.0,0.0,0.0,-26.03957849589987,1.8617429811177217,11.731596942295981,-14.30798155360389
2020-01-15T11:00:00.000+00:00,0.2905,0.2105,469.60034636446926,-0.0,469.60034636446926,342.9968379229083,0.0,126.60350844156096,0.0,0.0,0.0,-26.65003852694858,1.8990526266234145,11.768906587801673,-14.881131939146906
2020-01-15T12:00:00.000+00:00,0.2912,0.21120000000000003,469.1930721865725,-0.0,469.1930721865725,317.6464872133062,0.0,151.5465849732663,0.0,0.0,0.0,-32.00663874635385,2.2731987745989946,12.143052735777253,-19.863586010576597
2020-01-15T13:00:00.000+00:00,0.29239999999999994,0.21239999999999995,465.91218778837924,-0.0,465.91218778837924,316.28122716166007,0.0,149.63096062671917,0.0,0.0,0.0,-31.781616037115146,2.2444644094007873,12.114318370579047,-19.6672976665361
2020-01-15T14:00:00.000+00:00,0.2994,0.2194,445.0495950907165,-0.0,445.0495950907165,347.11320596854387,0.0,97.93638912217261,0.0,0.0,0.0,-21.48724377340467,1.4690458368325892,11.338899798010848,-10.148343975393823
2020-01-15T15:00:00.000+00:00,0.3063,0.22630000000000003,426.5043917525289,-0.0,426.5043917525289,366.5605707585871,0.0,59.943820993941756,0.0,0.0,0.0,-13.565286690929021,0.8991573149091263,10.769011276087387,-2.7962754148416344
