valid_time,price_buy,price_sell,generation,consumption,power_buy,power_sell,battery_charge,battery_discharge,battery_state,energy_cost,grid_cost_energy,total_grid_cost,total_cost
2019-11-12T02:00:00.000+00:00,0.40349999999999997,0.3235,439.6878662538727,283.07765081238233,0,0,156.61021544149037,0,713.3983502913691,0,0,7.928275078095799,7.928275078095799
2019-11-12T03:00:00.000+00:00,0.4202,0.34020000000000006,431.9888380818385,299.0981161833598,0,0,132.89072189847866,0,833,0,0,7.928275078095799,7.928275078095799
2019-11-12T04:00:00.000+00:00,0.445,0.36500000000000005,420.2770620020435,312.3942998052455,0,107.88276219679801,0,0,833,-39.37720820183128,1.61824143295197,9.54651651104777,-29.83069169078351
2019-11-12T05:00:00.000+00:00,0.45249999999999996,0.3725,402.91725623645004,313.06114958296064,0,89.8561066534894,0,0,833,-33.47139972842481,1.347841599802341,9.276116677898141,-24.195283050526662
2019-11-12T06:00:00.000+00:00,0.47869999999999996,0.3987,421.36797472118366,328.4451828757001,0,92.92279184548357,0,0,833,-37.0483171087943,1.3938418776822536,9.322116955778053,-27.726200153016244
2019-11-12T07:00:00.000+00:00,0.4799,0.39990000000000003,340.6908839963539,325.20391751650203,0,15.486966479851844,0,0,833,-6.193237895292753,0.23230449719777765,8.160579575293577,1.9673416800008239
2019-11-12T08:00:00.000+00:00,0.47,0.39,381.2591275838456,324.83186951029,0,56.427258073555606,0,0,833,-22.006630648686688,0.8464088711033341,8.774683949199133,-13.231946699487553
2019-11-12T09:00:00.000+00:00,0.46409999999999996,0.3841,298.05395878433717,313.66023930632605,7.9457477379943615,0,0,7.660532783994517,824.4882969066728,3.6876215252031828,0.11918621606991542,8.047461294165714,11.735082819368898
2019-11-12T10:00:00.000+00:00,0.4603,0.3803,340.2497628625532,330.79231498107845,0,0,9.457447881474764,0,833,0,0,7.928275078095799,7.928275078095799
2019-11-12T11:00:00.000+00:00,0.4594,0.3794,270.85422271699593,324.7416428312374,53.88742011424148,0,0,0,833,24.755880800482533,0.8083113017136222,8.736586379809422,33.49246718029195
2019-11-12T12:00:00.000+00:00,0.46599999999999997,0.386,256.80014203292524,294.4539622206112,37.65382018768594,0,0,0,833,17.546680207461645,0.564807302815289,8.493082380911089,26.03976258837273
2019-11-12T13:00:00.000+00:00,0.47389999999999993,0.3939,163.32413178431054,305.2564604494722,141.93232866516163,0,0,0,833,67.26173055442008,2.1289849299774244,10.057260008073223,77.3189905624933
2019-11-12T14:00:00.000+00:00,0.47979999999999995,0.3998,153.10225792412893,320.67071896995236,167.56846104582343,0,0,0,833,80.39934760978608,2.5135269156873514,10.441801993783152,90.84114960356922
2019-11-12T15:00:00.000+00:00,0.5385,0.4585,169.01737547516205,361.8076303965146,0,0,0,192.79025492135253,618.7886056429415,0,0,7.928275078095799,7.928275078095799
2019-11-12T16:00:00.000+00:00,0.6179,0.5378999999999999,180.70151965966744,377.4599507290308,0,85.92896828554723,0,282.6873993549106,304.69149524859654,-46.22119204079585,1.2889345242832084,9.217209602379008,-37.00398243841684
2019-11-12T17:00:00.000+00:00,0.54,0.46,175.2345971721555,374.48694289589235,0,0,0,199.25234572373685,83.30000000000001,0,0,7.928275078095799,7.928275078095799
2019-11-12T18:00:00.000+00:00,0.46840000000000004,0.3884000000000001,159.56142471578988,368.3637004610211,208.8022757452312,0,0,0,83.30000000000001,97.8029859590663,3.132034136178468,11.060309214274268,108.86329517334056
2019-11-12T19:00:00.000+00:00,0.45549999999999996,0.3755,130.96196792085846,344.53645717088335,213.5744892500249,0,0,0,83.30000000000001,97.28317985338633,3.2036173387503735,11.131892416846172,108.4150722702325
2019-11-12T20:00:00.000+00:00,0.44949999999999996,0.3695,106.97148971906584,328.99323790043155,222.0217481813657,0,0,0,83.30000000000001,99.79877580752387,3.3303262227204855,11.258601300816284,111.05737710834015
2019-11-12T21:00:00.000+00:00,0.44020000000000004,0.3602000000000001,42.63894917576864,307.9796417937846,265.34069261801596,0,0,0,83.30000000000001,116.80297289045063,3.9801103892702394,11.908385467366038,128.71135835781666
2019-11-12T22:00:00.000+00:00,0.41639999999999994,0.3364,45.187850178054845,300.00252018291434,254.8146700048595,0,0,0,83.30000000000001,106.10482859002347,3.8222200500728922,11.75049512816869,117.85532371819215
2019-11-12T23:00:00.000+00:00,0.3884,0.30840000000000006,30.08120409593569,288.1898793978782,495.41005352858076,0,237.30137822663823,0,296.8712404039744,192.41726479050078,7.431150802928711,15.35942588102451,207.77669067152527
2019-11-13T00:00:00.000+00:00,0.3882999999999999,0.30829999999999996,59.333583546186716,295.1899923621147,495.41005352858076,0,259.5536447126528,0,530.4695206453619,192.36772378514786,7.431150802928711,15.35942588102451,207.72714966617235
2019-11-13T01:00:00.000+00:00,0.39009999999999995,0.3101,79.54771151999797,289.7005335709822,495.41005352858076,0,285.2572314775965,0,787.2010289751986,193.25946188149933,7.431150802928711,15.35942588102451,208.61888776252383
2019-11-13T02:00:00.000+00:00,0.3922,0.31220000000000003,89.83030265984442,285.5426888844203,246.6001318076884,0,50.88774558311254,0,833,96.71657169497539,3.699001977115326,11.627277055211126,108.34384875018651
